"ID","Name","Plan Estimated Time","Owner","Contributors","Release","Iteration","State","Severity","Environment","POINTS_NAME","Dev Start","Dev End","Test Start","Test End","Test Workload","Work Item Priority","QA Owner"
"DF305718","[Form Builder][My App]Incorrect Expression display while add new record in My Apps","","CHRIS WU","","R20260705_V2.31.0_I2606","BCMS-2026-I07","Open","Major","PRD","1","","","","","",10,""
"ST665700","[Workbench][Process Designer] Titan want boundary event work on multiple instance","","LISA XIE","","R20260802_V2.32.0_I2607","BCMS-2026-I07","","","","Unestimated","","","","","",10,"LISA XIE"
"ST550786","[Operation Center][My Reports] Matin want my report function in operation center","","JACK KE","","R20260802_V2.32.0_I2607","BCMS-2026-I07","","","","3","","","","","",14,""
"ST646864","[Operation Center][My APP] revamp the my app page and edit form","","JACK KE","","R20260802_V2.32.0_I2607","BCMS-2026-I07","","","","3","","","","","",15,""
"ST660088","[Workbench][Form Builder] Titan want a new detail table component for primary-detail data manipulation - Phase 2","","JACK KE","","R20260802_V2.32.0_I2607","BCMS-2026-I07","","","","2","","","","","",16,"SYLVIA LIU"
"ST646207","[Operation Center][Task Center] Sophia want to have the link for those check list converted tasks - Follow up","","JACK KE","","R20260802_V2.32.0_I2607","BCMS-2026-I07","","","","3","","","","","",18,"SYLVIA LIU"
"ST636380","[Workbench][Form Builder] Titan want a Statistics component","","JACK KE","","R20260802_V2.32.0_I2607","BCMS-2026-I07","","","","1","","","","","",20,""
"DF302820","[Process Engine] Consumer consume message failed when publisher is updated but consumer not updated after common event class add new field","","JACK KE","","R20260802_V2.32.0_I2607","BCMS-2026-I07","Open","Major","PRD","1","2026-06-23T00:00:00.000Z","2026-06-24T00:00:00.000Z","","","",20,""
"DF302100","[Operation Center][Task Center]total number of tasks is different from sidebar to task list","","JACK KE","","R20260802_V2.32.0_I2607","BCMS-2026-I07","Submitted","Major","PRD","1","","","","","",20,""
"DF284087","[Mobile][Teams]fail to download file from component Link & HTML & Richtext","","JACK KE","","R20260802_V2.32.0_I2607","BCMS-2026-I07","Open","Major","DEV","1","","","","","",20,""
"DF280769","[Operation Center][My Process]fail to approve or reject multi instance","","JACK KE","","R20260802_V2.32.0_I2607","BCMS-2026-I07","Open","Major","DEV","1","","","","","",25,""
"ST576684","[Tech] solace to rabbitmq migration for oocl/coscon - Switch to rabbit publisher (stage 3)","","YOUNG ZHANG","YOUNG ZHANG","Unscheduled","BCMS-2026-I07","","","","5","","","","","",10,""
"ST608122","[Workbench][Form Builder] Titan want form definition with simple version control","","JACK KE","HANSON H W HUANG","R20260802_V2.32.0_I2607","BCMS-2026-I07","","","","3","2026-07-02T00:00:00.000Z","","","","",11,"SYLVIA LIU"
"ST665881","[Workbench][Process Designer] Titan want a customized Email start event notation in BPMN process design - Phase 2","","HANSON H W HUANG","HANSON H W HUANG","Unscheduled","BCMS-2026-I07","","","","2","2026-07-09T00:00:00.000Z","","","","",11,"RAINNIE KUANG"
"ST659020","[AI][Chatbot] Martin want the AI agent as tool to be enabled in task handling - phase 2","","PAIGE LI","PAIGE LI","R20260802_V2.32.0_I2607","BCMS-2026-I07","","","","3","2026-07-09T00:00:00.000Z","","","","",12,"SYLVIA LIU"
"ST621913","[Workbench][Process Designer] Titan want a customized Webhook start event notation in BPMN process design","","RAY WEN","RAY WEN","R20260802_V2.32.0_I2607","BCMS-2026-I07","","","","5","2026-07-08T00:00:00.000Z","","","","",13,"RAINNIE KUANG"
"ST661422","[Support] Host Support","","CHRIS WU","CHRIS WU","Unscheduled","BCMS-2026-I07","","","","Unestimated","","","","","","",""
"DF305928","[Form Builder][My App]Freemarker field display wrong when add new","","CHRIS WU","","R20260705_V2.31.0_I2606","BCMS-2026-I07","Open","Critical","PRD","1","","","2026-07-15T00:00:00.000Z","","",9,"RAINNIE KUANG"
"ST659344","[Workbench][Form Builder] Titan want a file viewer to view office files, image and PDF","","RAY WEN","RAY WEN","R20260802_V2.32.0_I2607","BCMS-2026-I07","","","","3","2026-06-24T00:00:00.000Z","2026-07-07T00:00:00.000Z","2026-07-14T00:00:00.000Z","","",10,"SYLVIA LIU"
"DF257246","[My App][Select][Remote Search] display value but not label after submitted data","","CHRIS WU","CHRIS WU","R20260705_V2.31.0_I2606","BCMS-2026-I07","Open","Major","PRD","1","2026-07-08T00:00:00.000Z","2026-07-09T00:00:00.000Z","2026-07-09T00:00:00.000Z","","","","RAINNIE KUANG"
